hru,hruIndex,k_soil,kAnisotropic,qSurfScale,summerLAI,theta_mp,theta_res,theta_sat,vGn_alpha,vGn_n,winterSAI,zScale_TOPMODEL,critSoilTranspire,critSoilWilting,f_impede,fieldCapacity,frozenPrecipMultip,heightCanopyBottom,heightCanopyTop,k_macropore
1,1002,3.53E-06,1,84.063,3,0.2211,0.1,0.4792,-0.858,1.306,0.45,4.057,0.2,0.125,0,0.2,0.85,0.05,0.25,0.06255
2,1003,3.53E-06,1,84.063,2.5,0.2211,0.1,0.4792,-0.858,1.306,0.45,4.057,0.2,0.125,0,0.2,1,3,9.5,0.06255
3,1004,3.53E-06,1,84.063,4,0.2211,0.1,0.4792,-0.858,1.306,0.45,4.057,0.2,0.125,0,0.2,1,3,9.5,0.06255
4,1005,3.53E-06,1,84.063,3,0.2211,0.1,0.4792,-0.858,1.306,0.45,4.057,0.2,0.125,0,0.2,1.05,0.05,0.25,0.06255
5,1006,3.53E-06,1,84.063,3,0.2211,0.1,0.4792,-0.858,1.306,0.45,4.057,0.2,0.125,0,0.2,1.05,0.05,0.25,0.06255
6,2001,3.53E-06,1,84.063,2.5,0.2211,0.1,0.4792,-0.858,1.306,0.45,4.057,0.2,0.125,0,0.2,1,3,9.5,0.06255
